source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-2829068489,casa,5150000.0,230.0,230.0,5,3.0,3.0,19.3221728,-99.0956838,Iztapalapa,Lomas Estrella,4429
MLM-2794942891,casa,6750000.0,134.5,422.0,8,5.0,5.0,19.3712812,-99.1293644,Iztapalapa,San Andrés Tetepilco,0500
MLM-5357382968,casa,5500000.0,180.0,350.0,3,4.0,4.0,19.3281071,-99.104439,Iztapalapa,San Andrés Tomatlan,1852
MLM-3200386919,casa,6300000.0,168.0,368.0,2,4.0,4.0,19.3418641,-99.1128882,Iztapalapa,San Antonio Culhuacán,1566
MLM-3038535451,casa,3500000.0,150.0,196.0,2,3.0,3.0,19.3359791,-99.0672723,Iztapalapa,San Juan Joya,2846
MLM-3227988921,casa,2850000.0,137.0,199.0,4,2.0,2.0,19.3475584,-98.9900579,Iztapalapa,San Miguel Teotongo,2653
MLM-2798129725,departamento,1750000.0,79.0,79.0,0,2.0,1.0,19.3632088,-99.0189112,Iztapalapa,San Sebastián Tecoloxtitla,0835
MLM-3025928227,casa,5400000.0,88.0,177.0,3,2.0,2.0,19.3349496,-99.1040523,Iztapalapa,San Simón Culhuacán,1778
MLM-6042335646,casa,5700000.0,270.0,121.0,3,2.0,2.0,19.3529612,-99.0244884,Iztapalapa,Santa María Aztahuacán,2545
MLM-3363200103,casa,5150000.0,120.0,347.0,4,4.0,4.0,19.3231092,-99.0991728,Iztapalapa,Santa María Tomatlan,1867
MLM-5767943606,casa,6000000.0,140.0,240.0,4,3.0,3.0,19.3346299,-98.9987276,Iztapalapa,Santiago Acahualtepec,3346
MLM-6044907090,departamento,1300000.0,52.0,52.0,2,2.0,1.0,19.385885,-99.0565783,Iztapalapa,Unidad Ejército Constitucionalista,013A
MLM-5981961052,departamento,1375000.0,,54.0,2,2.0,1.0,19.3362111,-99.0190327,Iztapalapa,Xalpa,5569
MLM-4407903928,casa,4490000.0,121.0,180.0,3,2.0,2.0,19.3062407,-99.2389242,La Magdalena Contreras,Barranca Seca,032A
MLM-3202598947,casa,5500000.0,480.0,239.0,3,2.0,2.0,19.309682,-99.2497511,La Magdalena Contreras,El Rosal,0226
MLM-5888637164,casa,6280000.0,347.0,156.0,3,2.0,2.0,19.311845,-99.2456753,La Magdalena Contreras,El Toro,0245
MLM-5364327936,casa,5350000.0,200.0,234.0,3,3.0,3.0,19.3080415,-99.2623418,La Magdalena Contreras,Huayatla,0404
MLM-5888724754,casa,5900000.0,159.0,250.0,2,2.0,2.0,19.3039679,-99.2513872,La Magdalena Contreras,Pueblo Nuevo Alto,0300
MLM-2798111377,casa,8600000.0,178.0,539.0,4,4.0,4.0,19.4488756,-99.2001723,Miguel Hidalgo,5 de Mayo,132A
MLM-3029690303,departamento,4661000.0,61.0,61.0,1,0.0,1.0,19.4085338,-99.1944592,Miguel Hidalgo,Ampliación Daniel Garza,1122
MLM-3017730081,departamento,3990000.0,100.0,100.0,0,2.0,2.0,19.4551852,-99.1997858,Miguel Hidalgo,Ampliación Torre Blanca,0124
MLM-3102470199,departamento,2400000.0,80.0,80.0,3,2.0,1.0,19.4037943,-99.2027751,Miguel Hidalgo,América,1103
MLM-3135668503,departamento,3250000.0,58.0,58.0,3,2.0,1.0,19.4581694,-99.2073057,Miguel Hidalgo,Argentina Poniente,0105
MLM-4580017874,departamento,11600000.0,166.0,166.0,5,2.0,2.0,19.4344164,-99.1866064,Miguel Hidalgo,Chapultepec Morales,0675
MLM-5833441336,departamento,2700000.0,64.0,64.0,2,2.0,1.0,19.4497488,-99.1937504,Miguel Hidalgo,Deportivo Pensil,1349
MLM-5100352898,departamento,2990000.0,72.0,72.0,2,2.0,2.0,19.4603507,-99.1967743,Miguel Hidalgo,Huichapan,004A
